group_id,group_count,dim_x,dim_y,dim_z,spacing_x_mm,spacing_y_mm,spacing_z_mm,count,example
1,218,512,512,188,0.3906,0.3906,0.6401,65,BP030
2,2,512,512,188,0.3906,0.3906,1.468,1,BP314
1,218,512,512,188,0.4102,0.4102,0.6401,1,BP859
1,218,512,512,188,0.4297,0.4297,0.6401,1,BP146
1,218,512,512,188,0.4688,0.4688,0.6401,7,BP310
1,218,512,512,200,0.4688,0.4688,0.6,2,BP694
1,218,512,512,208,0.3906,0.3906,0.6459,14,BP235
3,1,512,512,208,0.3906,0.3906,0.9695,1,BP822
2,2,512,512,208,0.3906,0.3906,1.3332,1,BP487
1,218,512,512,208,0.4297,0.4297,0.6459,7,BP391
1,218,512,512,216,0.4688,0.4688,0.6,100,BP042
1,218,512,512,216,0.4688,0.4688,0.6479,1,BP133
1,218,512,512,216,0.4883,0.4883,0.6,7,BP090
1,218,512,512,216,0.5078,0.5078,0.6,1,BP282
1,218,512,512,244,0.4688,0.4688,0.6,7,BP045
1,218,512,512,252,0.4688,0.4688,0.6,2,BP485
1,218,512,512,252,0.4883,0.4883,0.6,1,BP104
1,218,512,512,264,0.4688,0.4688,0.6,1,BP644
1,218,512,512,264,0.4883,0.4883,0.6,1,BP029
4,16,512,512,352,0.4688,0.4688,0.3,3,BP028
4,16,512,512,368,0.4688,0.4688,0.3,1,BP829
4,16,512,512,384,0.4688,0.4688,0.3,2,BP277
4,16,512,512,400,0.4688,0.4688,0.3,1,BP709
4,16,512,512,416,0.4688,0.4688,0.3,6,BP240
4,16,512,512,434,0.4102,0.4102,0.3,2,BP511
4,16,512,512,456,0.4688,0.4688,0.3,1,BP831
5,1,524,640,272,0.3359,0.3359,0.5,1,BP324
6,183,696,768,243,0.2344,0.2344,0.5,48,BP005
6,183,696,768,243,0.2344,0.2344,0.55,6,BP013
6,183,696,768,243,0.2474,0.2474,0.5,5,BP033
6,183,696,768,243,0.2604,0.2604,0.5,2,BP238
6,183,696,768,268,0.2344,0.2344,0.5,1,BP069
6,183,696,768,272,0.2344,0.2344,0.5,113,BP082
6,183,696,768,272,0.2474,0.2474,0.5,5,BP153
6,183,696,768,300,0.2604,0.2604,0.5,1,BP006
6,183,696,768,301,0.2344,0.2344,0.5,2,BP716
7,2,768,768,194,0.2344,0.2344,0.75,2,BP032
8,322,768,768,246,0.2344,0.2344,0.5,1,BP097
8,322,768,768,254,0.2344,0.2344,0.5,78,BP008
8,322,768,768,254,0.2344,0.2344,0.55,16,BP001
8,322,768,768,254,0.2474,0.2474,0.5,4,BP211
8,322,768,768,254,0.2487,0.2487,0.5,1,BP837
8,322,768,768,279,0.2344,0.2344,0.5,3,BP023
8,322,768,768,284,0.2344,0.2344,0.5,213,BP002
8,322,768,768,284,0.2344,0.2344,0.55,1,BP206
8,322,768,768,312,0.2344,0.2344,0.5,1,BP909
8,322,768,768,312,0.2604,0.2604,0.5,1,BP386
8,322,768,768,314,0.2344,0.2344,0.5,3,BP368
