variant,size,exam,orig_dim_x,orig_dim_y,orig_dim_z,orig_sp_x,orig_sp_y,orig_sp_z,orig_fov_x,orig_fov_y,orig_fov_z,shape,sp_x,sp_y,sp_z,pad_pct,crop_pct
raw,-,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,768x768x284,0.2344,0.2344,0.5,0.0,0.0
A,128,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,128x128x128,1.0,1.0,1.0,0.0,54.4
B,128,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,128x128x128,1.4062,1.4062,1.4062,21.1,0.0
C,128,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,128x128x128,0.2344,0.2344,0.5,0.0,98.7
D,128,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,128x128x128,1.4062,1.4062,1.1094,0.0,0.0
A,256,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,256x256x128,0.9375,0.9375,0.9375,43.8,15.5
B,256,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,256x256x128,0.7031,0.7031,0.7031,0.0,36.6
C,256,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,256x256x128,0.2344,0.2344,0.5,0.0,95.0
D,256,BP002,768,768,284,0.2344,0.2344,0.5,180.0,180.0,142.0,256x256x128,0.7031,0.7031,1.1094,0.0,0.0
raw,-,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,512x512x216,0.4688,0.4688,0.6,0.0,0.0
A,128,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,128x128x128,1.0,1.0,1.0,0.0,71.9
B,128,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,128x128x128,1.8752,1.8752,1.8752,46.0,0.0
C,128,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,128x128x128,0.4688,0.4688,0.6,0.0,96.3
D,128,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,128x128x128,1.8752,1.8752,1.0125,0.0,0.0
A,256,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,256x256x128,0.9375,0.9375,0.9375,0.0,7.4
B,256,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,256x256x128,0.9376,0.9376,0.9376,0.0,7.4
C,256,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,256x256x128,0.4688,0.4688,0.6,0.0,85.2
D,256,BP042,512,512,216,0.4688,0.4688,0.6,240.0,240.0,129.6,256x256x128,0.9376,0.9376,1.0125,0.0,0.0
raw,-,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,696x768x272,0.2344,0.2344,0.5,0.0,0.0
A,128,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,128x128x128,1.0,1.0,1.0,0.0,47.5
B,128,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,128x128x128,1.4062,1.4062,1.4062,31.5,0.0
C,128,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,128x128x128,0.2344,0.2344,0.5,0.0,98.6
D,128,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,128x128x128,1.2744,1.4062,1.0625,0.0,0.0
A,256,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,256x256x128,0.9375,0.9375,0.9375,49.0,11.8
B,256,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,256x256x128,0.7031,0.7031,0.7031,9.4,33.8
C,256,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,256x256x128,0.2344,0.2344,0.5,0.0,94.2
D,256,BP082,696,768,272,0.2344,0.2344,0.5,163.1,180.0,136.0,256x256x128,0.6372,0.7031,1.0625,0.0,0.0
raw,-,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,512x512x416,0.4688,0.4688,0.3,0.0,0.0
A,128,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,128x128x128,1.0,1.0,1.0,2.5,71.6
B,128,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,128x128x128,1.8752,1.8752,1.8752,48.0,0.0
C,128,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,128x128x128,0.4688,0.4688,0.3,0.0,98.1
D,128,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,128x128x128,1.8752,1.8752,0.975,0.0,0.0
A,256,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,256x256x128,0.9375,0.9375,0.9375,0.0,3.8
B,256,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,256x256x128,0.9376,0.9376,0.9376,0.0,3.8
C,256,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,256x256x128,0.4688,0.4688,0.3,0.0,92.3
D,256,BP240,512,512,416,0.4688,0.4688,0.3,240.0,240.0,124.8,256x256x128,0.9376,0.9376,0.975,0.0,0.0
