job_id,model,dataset,balancing,checkpoint,precision,recall,f2_score,accuracy,loss,auc,best_epoch,total_epochs,time_min
4303,R3D18,A128,none,f2,0.3438,0.7097,0.5851,0.6600,0.7370,,36,51,118.2
4303,R3D18,B128,none,f2,0.2982,0.5484,0.4696,0.6400,0.8795,,59,74,171.4
4303,R3D18,C128,none,f2,0.2771,0.7419,0.5556,0.5467,0.6884,,1,16,36.9
4303,R3D18,D128,none,f2,0.3400,0.5484,0.4885,0.6867,0.6187,,33,48,111.6
4303,R3D18,E128,none,f2,0.3133,0.8387,0.6280,0.5867,0.8286,,46,61,143.1
4303,R3D18,F128,none,f2,0.3065,0.6129,0.5108,0.6333,0.6801,,22,37,86.8
4303,R3D18,A128,oversampling,f2,0.2727,0.7742,0.5660,0.5267,0.7607,,7,22,51.6
4303,R3D18,B128,oversampling,f2,0.2593,0.6774,0.5122,0.5333,0.8652,,18,33,78.2
4303,R3D18,C128,oversampling,f2,0.3043,0.6774,0.5440,0.6133,0.6683,,4,19,45.1
4303,R3D18,D128,oversampling,f2,0.2558,0.3548,0.3293,0.6533,0.6068,,15,30,70.8
4303,R3D18,E128,oversampling,f2,0.2784,0.8710,0.6109,0.5067,0.8053,,23,38,89.9
4303,R3D18,F128,oversampling,f2,0.2252,0.8065,0.5319,0.3867,0.8864,,27,42,98.6
4303,R3D18,A128,wcf,f2,0.2474,0.7742,0.5430,0.4667,0.7034,,5,20,46.7
4303,R3D18,B128,wcf,f2,0.2067,1.0000,0.5657,0.2067,0.8854,,1,16,38.3
4303,R3D18,C128,wcf,f2,0.2451,0.8065,0.5531,0.4467,0.8218,,5,20,47.5
4303,R3D18,D128,wcf,f2,0.3571,0.4839,0.4518,0.7133,0.5992,,7,22,52.7
4303,R3D18,E128,wcf,f2,0.2018,0.7097,0.4721,0.3600,0.7202,,1,16,38.2
4303,R3D18,F128,wcf,f2,0.2067,1.0000,0.5657,0.2067,1.0767,,1,16,38.5
4394,R3D18,A128,none,auc,0.0000,0.0000,0.0000,0.7965,0.4737,0.7053,4,19,46.9
4394,R3D18,B128,none,auc,0.3333,0.3913,0.3782,0.7168,0.6183,0.6198,61,76,186.0
4394,R3D18,C128,none,auc,0.0000,0.0000,0.0000,0.7965,0.6141,0.6466,1,16,39.5
4394,R3D18,D128,none,auc,0.0000,0.0000,0.0000,0.7965,0.4932,0.7370,6,21,51.7
4394,R3D18,E128,none,auc,0.0000,0.0000,0.0000,0.7965,0.4794,0.6476,6,21,51.5
4394,R3D18,F128,none,auc,0.0000,0.0000,0.0000,0.7965,0.4751,0.6865,10,25,62.0
4394,R3D18,A128,oversampling,auc,0.3000,0.1304,0.1471,0.7611,0.5748,0.6556,58,73,181.4
4394,R3D18,B128,oversampling,auc,0.3824,0.5652,0.5159,0.7257,0.6691,0.6145,51,66,164.3
4394,R3D18,C128,oversampling,auc,0.2889,0.5652,0.4745,0.6283,0.9239,0.6756,55,70,175.5
4394,R3D18,D128,oversampling,auc,0.4545,0.4348,0.4386,0.7788,0.5511,0.7225,16,31,77.9
4394,R3D18,E128,oversampling,auc,0.2714,0.8261,0.5864,0.5133,0.7273,0.7292,3,18,45.0
4394,R3D18,F128,oversampling,auc,0.4286,0.2609,0.2830,0.7788,0.6424,0.6833,2,17,42.5
4394,R3D18,A128,wcf,auc,0.0000,0.0000,0.0000,0.7965,0.4945,0.6911,6,21,52.6
4394,R3D18,B128,wcf,auc,0.2674,1.0000,0.6461,0.4425,0.8463,0.7208,4,19,48.1
4394,R3D18,C128,wcf,auc,0.3636,0.5217,0.4800,0.7168,0.5680,0.6896,28,43,109.3
4394,R3D18,D128,wcf,auc,0.6667,0.0870,0.1053,0.8053,0.4680,0.7070,6,21,53.0
4394,R3D18,E128,wcf,auc,0.0000,0.0000,0.0000,0.7965,0.5040,0.7283,12,27,69.1
4394,R3D18,F128,wcf,auc,0.2179,0.7391,0.5000,0.4071,0.7498,0.6348,3,18,46.3
old,R3D18,E128,none,none,,0.2380,0.2580,,0.68,,20,20,
old,R3D18,B128,none,none,,0.1900,0.2000,,0.70,,20,20,
old,R3D18,C128,none,none,,0.0480,0.0560,,0.61,,20,20,
old,R3D18,D128,none,none,,0.2380,0.2600,,0.71,,20,20,
old,R3D18,E128,oversampling,none,,0.1430,0.1670,,0.62,,20,20,
old,R3D18,B128,oversampling,none,,0.0480,0.0570,,0.68,,20,20,
old,R3D18,C128,oversampling,none,,0.0480,0.0540,,0.55,,20,20,
old,R3D18,D128,oversampling,none,,0.1430,0.1700,,0.65,,20,20,
old,R3D18,E128,wcf,none,,0.1430,0.1670,,0.67,,20,20,
old,R3D18,B128,wcf,none,,0.3330,0.3540,,0.68,,20,20,
old,R3D18,C128,wcf,none,,0.4280,0.3850,,0.54,,20,20,
old,R3D18,D128,wcf,none,,0.6190,0.5600,,0.73,,20,20,
old,UNet3D,D128,wcf,none,,0.0000,0.0000,,0.60,,20,20,
